Year,Total GDP,GDP PC,GDP PCF,GCF,FC,EGS,IGS
2000,441646,5689,402,130771,321853,243049,253927.00
2001,481295,6117,,150033,342607,262846,273828.00
2002,535762,6720,440,177983,382137,304262,331946.00
2003,1809149,19278,1064,632326,1206819,1132688,1304350.00
2004,2157828,24818,1273,770211,1565602,1553687,1730902.00
2005,2779880,31640,1517,827032,2008700,2206971,2321858.00
2006,3245419,36544,1748,884160,2285623,2597264,2483567.00
2007,3584262,39932,1907,956124,2566803,2997380,2920030.00
2008,3937856,43402,2052,1056632,2838048,3402495,3273530.00
2009,4192862,45462,2097,1160447,3115085,3764320,3731151.00
2010,4502733,48286,2202,1196739,3379404,4215636,4100294.00
2011,5005975,53093.55,2372.95,1330694,3731554,5085742,4945460.00
2012,5542331.87,58104.75,2570.33,1470550.45,4103654.73,5865549.65,5679497.44
2013,6037347.63,62573.58,2714.2,1620655.48,4505237,6447618.74,6321360.70
2014,6293144.9,64490.37,2778.76,1699865,4692674,6642395,6463336.09
